model,pass@1,number_func_generated,avg_generation_time (s),avg_tokens,avg_execution_time (s),avg_cc_generation,avg_cog_generation
gemini-2.0-flash_no_prompt,0.8597560975609756,141,1.8321470770243933,382.9024390243902,1.8474360411097506,3.8109756097560976,4.5
qwen2.5-coder:32b,0.8658536585365854,142,11.308909421402435,401.859756097561,1.3427257012621916,3.4695121951219514,3.2195121951219514
qwen2.5-coder:32b_no_prompt,0.823170731707317,135,39.03332655829269,621.2621951219512,1.3329328305061408,3.8780487804878048,3.5
deepseek-coder-v2,0.7134146341463414,117,1.251675340548778,407.0487804878049,1.3016631428109444,3.542682926829268,3.294478527607362
canonical,1.0,164,0,0,0.5396259455610339,3.067073170731707,3.1097560975609757
deepseek-coder-v2_no_prompt,0.7012195121951219,115,3.2919615176219628,530.8170731707318,2.04756616742066,4.060975609756097,3.975609756097561
gemini-2.5-pro_no_prompt,0.926829268292683,152,30.65153979120102,522.329268292683,0.9128116593049238,3.3353658536585367,2.8597560975609757
qwen2.5-coder_no_prompt,0.7560975609756098,124,10.011743997884235,438.1951219512195,1.2452275105061057,3.6402439024390243,3.158536585365854
gemini-2.5-pro,0.9634146341463414,158,26.445250087000016,572.109756097561,0.7480473932926643,3.4207317073170733,3.2195121951219514
qwen2.5-coder,0.8170731707317073,134,4.371156265548828,387.5609756097561,1.0850640312622246,3.658536585365854,3.067073170731707
gemini-2.0-flash,0.8170731707317073,134,1.7791430304817035,507.2256097560976,1.1094244002561044,3.8658536585365852,4.432926829268292
qwen3,0.84,105,52.547950606872185,2599.232,0.6255078555841174,3.392,3.2416666666666667
