coder,debugger,passed_after_generation,number_passed_after_generation,avg_generation_time (s),average_debugging_time (s),average_total_time (s),avg_debugging_tokens,avg_total_tokens,passed_after_debugging,number_passed_after_debugging,avg_attempts_debugging,avg_CC_debugged,avg_CoG_debugged
gemini-2.0-flash,gemini-2.5-pro,0.8170731707317073,134,1.7791430304817035,93.83638749050017,95.61553052098188,218605.33333333334,40496.006097560974,0.9634146341463414,158,3.1666666666666665,3.8333333333333335,3.586206896551724
gemini-2.0-flash,qwen3,0.8170731707317073,134,1.7791430304817035,397.5359999055663,399.315142936048,168057.73333333334,31249.493902439026,0.9329268292682927,153,4.933333333333334,4.233333333333333,4.703703703703703
deepseek-coder-v2,gemini-2.5-pro,0.7134146341463414,117,1.251675340548778,64.50942146889328,65.76109680944205,339878.6808510638,97811.30487804877,0.975609756097561,160,3.106382978723404,4.0,4.0638297872340425
deepseek-coder-v2,deepseek-coder-v2,0.7134146341463414,117,1.251675340548778,52.290449590234026,53.542124930782805,32128.744680851065,9614.676829268292,0.7926829268292683,130,7.787234042553192,4.212765957446808,4.25531914893617
deepseek-coder-v2,qwen3,0.7134146341463414,117,1.251675340548778,242.3648232401066,243.6164985806554,111779.72340425532,32441.481707317074,0.926829268292683,152,4.1063829787234045,3.74468085106383,4.608695652173913
gemini-2.5-pro,gemini-2.5-pro,0.9634146341463414,158,26.445250087000016,202.39133893883323,228.83658902583323,188567.83333333334,7470.932926829269,0.9817073170731707,161,5.5,3.8333333333333335,3.3333333333333335
gemini-2.5-pro,qwen3,0.9634146341463414,158,26.445250087000016,695.1796186971669,721.6248687841669,401827.5,15273.115853658537,0.9634146341463414,158,10.0,4.666666666666667,4.0
deepseek-coder-v2,gemini-2.0-flash,0.7134146341463414,117,1.251675340548778,13.334968864021274,14.586644204570051,262361.5319148936,75596.0243902439,0.9207317073170732,151,3.6382978723404253,4.0,4.51063829787234
gemini-2.0-flash,gemini-2.0-flash,0.8170731707317073,134,1.7791430304817035,24.611993593999994,26.391136624481696,570453.0666666667,104858.39634146342,0.9085365853658537,149,5.633333333333334,4.333333333333333,4.633333333333334
gemini-2.5-pro,gemini-2.0-flash,0.9634146341463414,158,26.445250087000016,28.9859867903333,55.43123687733332,149016.5,6023.932926829269,0.9817073170731707,161,5.5,6.166666666666667,5.166666666666667
gemini-2.0-flash,qwen2.5-coder:32b,0.8170731707317073,134,1.7791430304817035,2.283308628366679,4.062451658848382,1048575.0,192319.7256097561,0.8170731707317073,134,10.0,4.466666666666667,4.7
gemini-2.0-flash,deepseek-coder-v2,0.8170731707317073,134,1.7791430304817035,0.7926069882001078,2.5717500186818114,1048575.0,192319.7256097561,0.8170731707317073,134,10.0,4.466666666666667,4.7
gemini-2.5-pro,deepseek-coder-v2,0.9634146341463414,158,26.445250087000016,1.790161831666713,28.235411918666728,1048575.0,38934.60975609756,0.9634146341463414,158,10.0,4.0,4.0
gemini-2.5-pro,qwen2.5-coder:32b,0.9634146341463414,158,26.445250087000016,3.5429884169999846,29.988238504,1048575.0,38934.60975609756,0.9634146341463414,158,10.0,4.0,4.0
deepseek-coder-v2,qwen2.5-coder:32b,0.7134146341463414,117,1.251675340548778,209.62194992974477,210.87362527029356,212348.63829787233,61263.060975609755,0.8963414634146342,147,4.638297872340425,4.553191489361702,4.595744680851064
